Component,Units,Author,Species,Weight,Feed,Typefood,Value,concatenate
Vit. D (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-sep,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-sep_Future foods
ALA 18:3 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-sep,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-sep_Future foods
EPA 20:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-sep,Future foods,0.005910667,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-sep_Future foods
DPA 22:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-sep,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-sep_Future foods
DHA 22:6 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-sep,Future foods,0.002600693,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-sep_Future foods
Vit. A (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-sep,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-sep_Future foods
Water,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-nov_Future foods
Protein (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-nov_Future foods
Chitin corrected protein,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-nov_Future foods
Chitin,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-nov_Future foods
Ca (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-nov_Future foods
I (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-nov_Future foods
Fe (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-nov_Future foods
Zn (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-nov_Future foods
Vit. B12 (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-nov_Future foods
Vitamin D2(µg),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-nov_Future foods
Vitamin D3,ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-nov_Future foods
Vit. D (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-nov_Future foods
ALA 18:3 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-nov_Future foods
EPA 20:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-nov,Future foods,0.011821333,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-nov_Future foods
DPA 22:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-nov_Future foods
DHA 22:6 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-nov,Future foods,0.00496496,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-nov_Future foods
Vit. A (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-nov_Future foods
Water,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Jan_Future foods
Protein (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Jan_Future foods
Chitin corrected protein,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Jan_Future foods
Chitin,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Jan_Future foods
Ca (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Jan_Future foods
I (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Jan_Future foods
Fe (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Jan_Future foods
Zn (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Jan_Future foods
Vit. B12 (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Jan_Future foods
Vitamin D2(µg),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Jan_Future foods
Vitamin D3,ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Jan_Future foods
Vit. D (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Jan_Future foods
ALA 18:3 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Jan_Future foods
EPA 20:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Jan,Future foods,0.002955333,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Jan_Future foods
DPA 22:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Jan_Future foods
DHA 22:6 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Jan,Future foods,0.0017732,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Jan_Future foods
Vit. A (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Jan_Future foods
Water,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mar_Future foods
Protein (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mar_Future foods
Chitin corrected protein,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mar_Future foods
Chitin,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mar_Future foods
Ca (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mar_Future foods
I (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mar_Future foods
Fe (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mar_Future foods
Zn (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mar_Future foods
Vit. B12 (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mar_Future foods
Vitamin D2(µg),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mar_Future foods
Vitamin D3,ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mar_Future foods
Vit. D (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mar_Future foods
ALA 18:3 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mar_Future foods
EPA 20:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mar,Future foods,0.009457067,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mar_Future foods
DPA 22:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mar_Future foods
DHA 22:6 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mar,Future foods,0.001182133,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mar_Future foods
Vit. A (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-Mar_Future foods
Water,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-May,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-May_Future foods
Protein (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-May,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-May_Future foods
Chitin corrected protein,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-May,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-May_Future foods
Chitin,g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-May,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-May_Future foods
Ca (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-May,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-May_Future foods
I (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-May,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-May_Future foods
Fe (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-May,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-May_Future foods
Zn (mg),mg/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-May,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-May_Future foods
Vit. B12 (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-May,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-May_Future foods
Vitamin D2(µg),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-May,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-May_Future foods
Vitamin D3,ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-May,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-May_Future foods
Vit. D (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-May,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-May_Future foods
ALA 18:3 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-May,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-May_Future foods
EPA 20:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-May,Future foods,0.008866,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-May_Future foods
DPA 22:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-May,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-May_Future foods
DHA 22:6 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-May,Future foods,0.001182133,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-May_Future foods
Vit. A (ug),ug/100g,Marinho et al 2015,Sugar kelp,Fresh weight,Monoculture-May,Future foods,NA,Marinho et al 2015_Sugar kelp_Fresh weight_Monoculture-May_Future foods
Water,g/100g,Korsvold 2017,Sugar kelp,Fresh weight,Cultivated,Future foods,NA,Korsvold 2017_Sugar kelp_Fresh weight_Cultivated_Future foods
Protein (g),g/100g,Korsvold 2017,Sugar kelp,Fresh weight,Cultivated,Future foods,1.560416,Korsvold 2017_Sugar kelp_Fresh weight_Cultivated_Future foods
Chitin corrected protein,g/100g,Korsvold 2017,Sugar kelp,Fresh weight,Cultivated,Future foods,NA,Korsvold 2017_Sugar kelp_Fresh weight_Cultivated_Future foods
Chitin,g/100g,Korsvold 2017,Sugar kelp,Fresh weight,Cultivated,Future foods,NA,Korsvold 2017_Sugar kelp_Fresh weight_Cultivated_Future foods
Ca (mg),mg/100g,Korsvold 2017,Sugar kelp,Fresh weight,Cultivated,Future foods,118.2133333,Korsvold 2017_Sugar kelp_Fresh weight_Cultivated_Future foods
I (ug),ug/100g,Korsvold 2017,Sugar kelp,Fresh weight,Cultivated,Future foods,43384.29333,Korsvold 2017_Sugar kelp_Fresh weight_Cultivated_Future foods
Fe (mg),mg/100g,Korsvold 2017,Sugar kelp,Fresh weight,Cultivated,Future foods,0.461032,Korsvold 2017_Sugar kelp_Fresh weight_Cultivated_Future foods
Zn (mg),mg/100g,Korsvold 2017,Sugar kelp,Fresh weight,Cultivated,Future foods,0.319176,Korsvold 2017_Sugar kelp_Fresh weight_Cultivated_Future foods
Vit. B12 (ug),ug/100g,Korsvold 2017,Sugar kelp,Fresh weight,Cultivated,Future foods,10.6392,Korsvold 2017_Sugar kelp_Fresh weight_Cultivated_Future foods
Vitamin D2(µg),ug/100g,Korsvold 2017,Sugar kelp,Fresh weight,Cultivated,Future foods,NA,Korsvold 2017_Sugar kelp_Fresh weight_Cultivated_Future foods
Vitamin D3,ug/100g,Korsvold 2017,Sugar kelp,Fresh weight,Cultivated,Future foods,NA,Korsvold 2017_Sugar kelp_Fresh weight_Cultivated_Future foods
Vit. D (ug),ug/100g,Korsvold 2017,Sugar kelp,Fresh weight,Cultivated,Future foods,NA,Korsvold 2017_Sugar kelp_Fresh weight_Cultivated_Future foods
ALA 18:3 n-3 (g),g/100g,Korsvold 2017,Sugar kelp,Fresh weight,Cultivated,Future foods,NA,Korsvold 2017_Sugar kelp_Fresh weight_Cultivated_Future foods
EPA 20:5 n-3 (g),g/100g,Korsvold 2017,Sugar kelp,Fresh weight,Cultivated,Future foods,NA,Korsvold 2017_Sugar kelp_Fresh weight_Cultivated_Future foods
DPA 22:5 n-3 (g),g/100g,Korsvold 2017,Sugar kelp,Fresh weight,Cultivated,Future foods,NA,Korsvold 2017_Sugar kelp_Fresh weight_Cultivated_Future foods
DHA 22:6 n-3 (g),g/100g,Korsvold 2017,Sugar kelp,Fresh weight,Cultivated,Future foods,NA,Korsvold 2017_Sugar kelp_Fresh weight_Cultivated_Future foods
Vit. A (ug),ug/100g,Korsvold 2017,Sugar kelp,Fresh weight,Cultivated,Future foods,138.3096,Korsvold 2017_Sugar kelp_Fresh weight_Cultivated_Future foods
EPA + DHA (g),g/100g,Barker et al 1998,Mealworm,Dry weight,commercial size large,Future foods,NA,Barker et al 1998_Mealworm_Dry weight_commercial size large_Future foods
EPA + DHA (g),g/100g,Barker et al 1998,Mealworm,Dry weight,commercial size small,Future foods,NA,Barker et al 1998_Mealworm_Dry weight_commercial size small_Future foods
EPA + DHA (g),g/100g,Barker et al 1998,Mealworm,Fresh weight,commercial size large,Future foods,NA,Barker et al 1998_Mealworm_Fresh weight_commercial size large_Future foods
EPA + DHA (g),g/100g,Barker et al 1998,Mealworm,Fresh weight,commercial size small,Future foods,NA,Barker et al 1998_Mealworm_Fresh weight_commercial size small_Future foods
EPA + DHA (g),g/100g,Becker 2007,Chlorella,Dry weight,uknown reviewmax,Future foods,NA,Becker 2007_Chlorella_Dry weight_uknown reviewmax_Future foods
EPA + DHA (g),g/100g,Becker 2007,Chlorella,Dry weight,uknown reviewmin,Future foods,NA,Becker 2007_Chlorella_Dry weight_uknown reviewmin_Future foods
EPA + DHA (g),g/100g,Becker 2007,Chlorella,Fresh weight,uknown reviewmax,Future foods,NA,Becker 2007_Chlorella_Fresh weight_uknown reviewmax_Future foods
EPA + DHA (g),g/100g,Becker 2007,Chlorella,Fresh weight,uknown reviewmin,Future foods,NA,Becker 2007_Chlorella_Fresh weight_uknown reviewmin_Future foods
EPA + DHA (g),g/100g,Becker 2007,Spirulina,Dry weight,uknown review maxvalue,Future foods,NA,Becker 2007_Spirulina_Dry weight_uknown review maxvalue_Future foods
EPA + DHA (g),g/100g,Becker 2007,Spirulina,Dry weight,uknown review minvalue,Future foods,NA,Becker 2007_Spirulina_Dry weight_uknown review minvalue_Future foods
EPA + DHA (g),g/100g,Becker 2007,Spirulina,Fresh weight,uknown review maxvalue,Future foods,NA,Becker 2007_Spirulina_Fresh weight_uknown review maxvalue_Future foods
EPA + DHA (g),g/100g,Becker 2007,Spirulina,Fresh weight,uknown review minvalue,Future foods,NA,Becker 2007_Spirulina_Fresh weight_uknown review minvalue_Future foods
EPA + DHA (g),g/100g,Bednarova et al 2013,Mealworm,Dry weight,commercial Chek republiquediet uknwon,Future foods,NA,Bednarova et al 2013_Mealworm_Dry weight_commercial Chek republiquediet uknwon_Future foods
EPA + DHA (g),g/100g,Bednarova et al 2013,Mealworm,Fresh weight,commercial Chek republiquediet uknwon,Future foods,NA,Bednarova et al 2013_Mealworm_Fresh weight_commercial Chek republiquediet uknwon_Future foods
EPA + DHA (g),g/100g,de Marco et al 2015,Black soldier fly,Dry weight,cereal by-product,Future foods,NA,de Marco et al 2015_Black soldier fly_Dry weight_cereal by-product_Future foods
EPA + DHA (g),g/100g,de Marco et al 2015,Black soldier fly,Fresh weight,cereal by-product,Future foods,NA,de Marco et al 2015_Black soldier fly_Fresh weight_cereal by-product_Future foods
EPA + DHA (g),g/100g,de Marco et al 2015,Mealworm,Dry weight,Commertial Germany,Future foods,NA,de Marco et al 2015_Mealworm_Dry weight_Commertial Germany_Future foods
EPA + DHA (g),g/100g,de Marco et al 2015,Mealworm,Fresh weight,Commertial Germany,Future foods,NA,de Marco et al 2015_Mealworm_Fresh weight_Commertial Germany_Future foods
EPA + DHA (g),g/100g,Diraman 2009,Spirulina,Dry weight,China brand,Future foods,0,Diraman 2009_Spirulina_Dry weight_China brand_Future foods
EPA + DHA (g),g/100g,Diraman 2009,Spirulina,Dry weight,Commercial brand turkey1,Future foods,0,Diraman 2009_Spirulina_Dry weight_Commercial brand turkey1_Future foods
EPA + DHA (g),g/100g,Diraman 2009,Spirulina,Dry weight,Commercial brand turkey2,Future foods,0.291005,Diraman 2009_Spirulina_Dry weight_Commercial brand turkey2_Future foods
EPA + DHA (g),g/100g,Diraman 2009,Spirulina,Dry weight,Commercial brand turkey3,Future foods,0,Diraman 2009_Spirulina_Dry weight_Commercial brand turkey3_Future foods
EPA + DHA (g),g/100g,Diraman 2009,Spirulina,Dry weight,Commercial brand turkey4,Future foods,0,Diraman 2009_Spirulina_Dry weight_Commercial brand turkey4_Future foods
EPA + DHA (g),g/100g,Diraman 2009,Spirulina,Dry weight,Commercial brand turkey5,Future foods,0,Diraman 2009_Spirulina_Dry weight_Commercial brand turkey5_Future foods
EPA + DHA (g),g/100g,Diraman 2009,Spirulina,Dry weight,outdoor raceway pond + CO2 added,Future foods,0.78821,Diraman 2009_Spirulina_Dry weight_outdoor raceway pond + CO2 added_Future foods
EPA + DHA (g),g/100g,Diraman 2009,Spirulina,Fresh weight,China brand,Future foods,NA,Diraman 2009_Spirulina_Fresh weight_China brand_Future foods
EPA + DHA (g),g/100g,Diraman 2009,Spirulina,Fresh weight,Commercial brand turkey1,Future foods,NA,Diraman 2009_Spirulina_Fresh weight_Commercial brand turkey1_Future foods
EPA + DHA (g),g/100g,Diraman 2009,Spirulina,Fresh weight,Commercial brand turkey2,Future foods,0.027150767,Diraman 2009_Spirulina_Fresh weight_Commercial brand turkey2_Future foods
EPA + DHA (g),g/100g,Diraman 2009,Spirulina,Fresh weight,Commercial brand turkey3,Future foods,NA,Diraman 2009_Spirulina_Fresh weight_Commercial brand turkey3_Future foods
EPA + DHA (g),g/100g,Diraman 2009,Spirulina,Fresh weight,Commercial brand turkey4,Future foods,NA,Diraman 2009_Spirulina_Fresh weight_Commercial brand turkey4_Future foods
EPA + DHA (g),g/100g,Diraman 2009,Spirulina,Fresh weight,Commercial brand turkey5,Future foods,NA,Diraman 2009_Spirulina_Fresh weight_Commercial brand turkey5_Future foods
EPA + DHA (g),g/100g,Diraman 2009,Spirulina,Fresh weight,outdoor raceway pond + CO2 added,Future foods,0.073539993,Diraman 2009_Spirulina_Fresh weight_outdoor raceway pond + CO2 added_Future foods
EPA + DHA (g),g/100g,Finke et al 2013,Black soldier fly,Dry weight,uknown diet-commercial insects USA,Future foods,NA,Finke et al 2013_Black soldier fly_Dry weight_uknown diet-commercial insects USA_Future foods
EPA + DHA (g),g/100g,Finke et al 2013,Black soldier fly,Fresh weight,uknown diet-commercial insects USA,Future foods,NA,Finke et al 2013_Black soldier fly_Fresh weight_uknown diet-commercial insects USA_Future foods
EPA + DHA (g),g/100g,Finke et al 2003,Housefly,Dry weight,uknown diet-commercial insects USA,Future foods,NA,Finke et al 2003_Housefly_Dry weight_uknown diet-commercial insects USA_Future foods
EPA + DHA (g),g/100g,Finke et al 2003,Housefly,Fresh weight,uknown diet-commercial insects USA,Future foods,NA,Finke et al 2003_Housefly_Fresh weight_uknown diet-commercial insects USA_Future foods
EPA + DHA (g),g/100g,Finke 2002,Mealworm,Dry weight,Commercialsupplier,Future foods,NA,Finke 2002_Mealworm_Dry weight_Commercialsupplier_Future foods
